2023-01-27 10:58:31.906354: iter: [1/20], train_loss: 5972.416085, valid_loss: 5909.732593, valid_accuracy:343.835872,best_valid_loss: 5909.732593, lr: 0.0010000
2023-01-27 11:03:22.277972: iter: [2/20], train_loss: 5898.660651, valid_loss: 5893.093780, valid_accuracy:297.098161,best_valid_loss: 5893.093780, lr: 0.0010000
2023-01-27 11:08:06.982743: iter: [3/20], train_loss: 5888.494540, valid_loss: 5883.865533, valid_accuracy:270.562847,best_valid_loss: 5883.865533, lr: 0.0010000
2023-01-27 11:12:59.029086: iter: [4/20], train_loss: 5867.283585, valid_loss: 5851.845259, valid_accuracy:202.892127,best_valid_loss: 5851.845259, lr: 0.0010000
2023-01-27 11:17:44.378571: iter: [5/20], train_loss: 5847.013884, valid_loss: 5842.797996, valid_accuracy:187.979548,best_valid_loss: 5842.797996, lr: 0.0010000
2023-01-27 11:22:28.719420: iter: [6/20], train_loss: 5841.111715, valid_loss: 5839.136919, valid_accuracy:177.153337,best_valid_loss: 5839.136919, lr: 0.0010000
2023-01-27 11:27:12.948688: iter: [7/20], train_loss: 5837.795642, valid_loss: 5834.220868, valid_accuracy:163.660296,best_valid_loss: 5834.220868, lr: 0.0010000
2023-01-27 11:32:06.180642: iter: [8/20], train_loss: 5835.702900, valid_loss: 5834.040012, valid_accuracy:167.814504,best_valid_loss: 5834.040012, lr: 0.0010000
2023-01-27 11:36:49.777296: iter: [9/20], train_loss: 5834.037701, valid_loss: 5840.673307, valid_accuracy:181.589283,best_valid_loss: 5834.040012, lr: 0.0010000
2023-01-27 11:41:39.129033: iter: [10/20], train_loss: 5832.766005, valid_loss: 5831.818581, valid_accuracy:158.162746,best_valid_loss: 5831.818581, lr: 0.0010000
2023-01-27 11:46:23.455204: iter: [11/20], train_loss: 5828.028189, valid_loss: 5828.550489, valid_accuracy:148.796360,best_valid_loss: 5828.550489, lr: 0.0001000
2023-01-27 11:51:08.261088: iter: [12/20], train_loss: 5827.641934, valid_loss: 5827.836974, valid_accuracy:146.664371,best_valid_loss: 5827.836974, lr: 0.0001000
2023-01-27 11:55:54.303494: iter: [13/20], train_loss: 5827.387469, valid_loss: 5827.599416, valid_accuracy:148.645404,best_valid_loss: 5827.599416, lr: 0.0001000
